"effect","group","term","estimate","std.error","statistic","dataset_num","effect_size"
"fixed",NA,"condunfamiliar:type",0.23698142873117,0.608188642717278,0.389651190578599,2,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.67771210221587,0.716678705839669,-2.3409543056679,2,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",6.71923703698576,1.13080702636652,5.94198380476627,2,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.7880707672228,0.497737906073632,25.6923786819865,3,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.82225040482289,0.382543745858567,-4.76350855176863,3,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-1.50164067771886,0.372486731172489,-4.03139374385792,3,"effect_1_detail_100_subs"
"fixed",NA,"type",-1.10263428448603,0.943141252967136,-1.16910831862897,3,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.0622525088907747,0.377203890762833,-0.165036762385667,3,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-5.17611528554634,0.404788064201592,-12.7872231009473,3,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",0.563434843426807,0.597576481341407,0.942866496623227,3,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",1.7257325851595,0.580303314199942,2.97384581981709,3,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-1.71316076889502,0.707137374214837,-2.42267037688004,3,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",6.62816560887123,0.919804263929718,7.2060609727481,3,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.5840612485574,0.49843872366364,25.2469574515833,4,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.4354258678573,0.392395071333289,-3.65811390795499,4,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar",-0.783284328927872,0.381360575555418,-2.05392056529988,4,"effect_1_detail_100_subs"
"fixed",NA,"type",0.373370576988282,1.06498828604867,0.350586557504369,4,"effect_1_detail_100_subs"
"fixed",NA,"timeadult",-0.695621781053839,0.375584127010714,-1.85210644174533,4,"effect_1_detail_100_subs"
"fixed",NA,"timechild",-6.00406544097613,0.402506630150969,-14.9166870586061,4,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic:type",0.367302051430047,0.690873490495357,0.531648784449221,4,"effect_1_detail_100_subs"
"fixed",NA,"condunfamiliar:type",0.736293629355284,0.655817913789038,1.12271045647609,4,"effect_1_detail_100_subs"
"fixed",NA,"type:timeadult",-2.15220179890893,0.746790002624702,-2.88193707915841,4,"effect_1_detail_100_subs"
"fixed",NA,"type:timechild",7.16790899096181,1.15412142442021,6.21070611748041,4,"effect_1_detail_100_subs"
"fixed",NA,"(Intercept)",12.7096215666381,0.344707040217054,36.8707919589781,5,"effect_1_detail_100_subs"
"fixed",NA,"condnoMusic",-1.90395204524045,0.431947635555616,-4.40783069177215,5,"effect_1_detail_100_subs"
