participant_id,event,time,condition,title,artist,trial,session,music_evoked_affect,mem_positive,mem_vivid,spont_memory,mem_coincidence,artist_exposure_rating,familiarity,childhood_exposure,adolescence_exposure,young_adult_exposure,adult_present_exposure,clip_liking,uri
63,A religious ceremony during your adolescence,adol,U,"On My Mind, In My Heart",Jesse Dee,12,2,3,6,7,n,NA,NA,1,1,1,1,1,1,NA
63,Going to prom or homecoming dance,adol,U,Summer Breeze,The Sha La Das,13,2,1,7,7,n,NA,NA,1,1,1,1,1,2,NA
63,A moment with your high school best friend,adol,U,Take Me Home,Jose James,14,2,3,7,7,n,NA,NA,1,1,1,1,1,5,NA
63,A time when you drank with friends in junior/high school,adol,U,Shame,The Suede Hello,15,2,5,7,7,n,NA,NA,1,1,1,1,1,2,NA
63,A time when you watched a movie/tv show with family as a child,child,C,9,no music,1,3,1,6,3,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,A night on Halloween in childhood,child,C,10,no music,2,3,6,6,6,y,1,NA,NA,NA,NA,NA,NA,NA,NA
63,A trip to an amusement park as a child,child,C,15,no music,3,3,1,7,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,A time when you played make-believe,child,C,5,no music,4,3,1,0,0,y,0,NA,NA,NA,NA,NA,NA,NA,NA
63,A lesson in religious school as a child,child,C,7,no music,5,3,1,5,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,The birth or adoption of your first child,adult,C,1,no music,6,3,3,0,0,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,A time cooking in your 20's,adult,C,14,no music,7,3,1,2,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Your wedding,adult,C,2,no music,8,3,3,6,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
63,Moving into your first home after your parents house or dorm,adult,C,8,no music,9,3,2,6,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
63,A day when you helped a friend move residence,adult,C,6,no music,10,3,4,6,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
63,A slumber party in junior/high school,adol,C,3,no music,11,3,2,4,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
63,A moment you acted on a first crush as a teen,adol,C,12,no music,12,3,4,5,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,The day when you moved houses during junior/high school,adol,C,4,no music,13,3,1,6,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,Your first date or first kiss,adol,C,13,no music,14,3,1,0,0,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,A time giving a presentation in junior/high school,adol,C,11,no music,15,3,2,7,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,A time hearing a favorite bedtime story as a child,child,C,11,no music,1,1,2,7,5,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,A moment when you played dolls/toys with a friend,child,C,9,no music,2,1,4,6,6,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,An activity you did in elementary school,child,C,13,no music,3,1,2,1,7,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,A memorable playdate with a childhood friend,child,C,5,no music,4,1,4,7,6,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,A time when you played make-believe,child,C,6,no music,5,1,6,6,7,y,4,NA,NA,NA,NA,NA,NA,NA,NA
64,A bachelorette or bachelor party,adult,C,12,no music,6,1,3,6,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,Moving into your first home after your parents house or dorm,adult,C,3,no music,7,1,6,7,6,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,A work-related trip in your 20's,adult,C,2,no music,8,1,5,7,7,y,3,NA,NA,NA,NA,NA,NA,NA,NA
64,A big accomplishment at work in your 20's,adult,C,15,no music,9,1,5,7,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,A halloween in your 20's,adult,C,1,no music,10,1,4,7,7,y,3,NA,NA,NA,NA,NA,NA,NA,NA
64,A time working on a junior/ high school art or science project,adol,C,14,no music,11,1,7,5,6,n,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,A time trying cigarettes or drugs in high school,adol,C,7,no music,12,1,3,4,6,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,A religious ceremony during your adolescence,adol,C,4,no music,13,1,4,3,6,y,4,NA,NA,NA,NA,NA,NA,NA,NA
64,A moment with your high school best friend,adol,C,10,no music,14,1,6,5,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,A moment with your high school girlfriend/boyfriend,adol,C,8,no music,15,1,3,6,7,y,1,NA,NA,NA,NA,NA,NA,NA,NA
64,A time playing an outdoor game during childhood,child,F,Surfin' U.S.A. - Remastered,The Beach Boys,1,2,6,7,6,y,2,5,5,4,2,1,1,4,spotify:track:0wz1LjDb9ZNEYwOmDJ3Q4b
